index	name	height	weight	description	image
1	Bulbasaur	2' 04"	15.2	There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png
2	Ivysaur	3' 03"	28.7	When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png
3	Venusaur	6' 07"	220.5	Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png
4	Charmander	2' 00"	18.7	It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png
5	Charmeleon	3' 07"	41.9	It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png
6	Charizard	5' 07"	199.5	It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
7	Squirtle	1' 08"	19.8	When it retracts its long neck into its shell, it squirts out water with vigorous force.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png
8	Wartortle	3' 03"	49.6	It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png
9	Blastoise	5' 03"	188.5	It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png
10	Caterpie	1' 00"	6.4	For protection, it releases a horrible stench from the antenna on its head to drive away enemies.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png
11	Metapod	2' 04"	21.8	It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png
12	Butterfree	3' 07"	70.5	In battle, it flaps its wings at great speed to release highly toxic dust into the air.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png
13	Weedle	1' 00"	7.1	Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png
14	Kakuna	2' 00"	22.0	Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png
15	Beedrill	3' 03"	65.0	It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png
